Ref,PosX,PosY,Rot,Side
C1,27.781250,-82.550000,90.000000,bottom
C2,19.050000,-27.781250,180.000000,bottom
C3,20.637500,-82.550000,270.000000,bottom
C4,14.287500,-82.550000,270.000000,bottom
C5,259.556250,-19.050000,270.000000,bottom
C6,224.631250,-82.550000,90.000000,bottom
C7,238.125000,-82.550000,270.000000,bottom
C8,231.775000,-82.550000,90.000000,bottom
D1,11.906250,-82.550000,90.000000,bottom
D2,3.175000,-119.062500,90.000000,bottom
D3,3.175000,0.000000,90.000000,bottom
D4,3.175000,-19.050000,90.000000,bottom
D5,3.175000,-38.100000,90.000000,bottom
D6,3.175000,-57.150000,90.000000,bottom
D7,3.175000,-76.200000,90.000000,bottom
D8,15.875000,-100.012500,270.000000,bottom
D9,22.225000,-119.062500,90.000000,bottom
D10,22.225000,0.000000,90.000000,bottom
D11,22.225000,-19.050000,90.000000,bottom
D12,22.225000,-38.100000,90.000000,bottom
D13,22.225000,-57.150000,90.000000,bottom
D14,22.225000,-76.200000,90.000000,bottom
D15,41.275000,-119.062500,90.000000,bottom
D16,41.275000,2.381250,90.000000,bottom
D17,41.275000,-16.668750,90.000000,bottom
D18,41.275000,-35.718750,90.000000,bottom
D19,41.275000,-54.768750,90.000000,bottom
D20,41.275000,-73.818750,90.000000,bottom
D21,60.325000,4.762500,90.000000,bottom
D22,60.325000,-14.287500,90.000000,bottom
D23,60.325000,-33.337500,90.000000,bottom
D24,60.325000,-52.387500,90.000000,bottom
D25,60.325000,-71.437500,90.000000,bottom
D26,67.468750,-92.868750,90.000000,bottom
D27,79.375000,2.381250,90.000000,bottom
D28,79.375000,-16.668750,90.000000,bottom
D29,79.375000,-35.718750,90.000000,bottom
D30,79.375000,-54.768750,90.000000,bottom
D31,79.375000,-73.818750,90.000000,bottom
D32,76.993750,-116.681250,90.000000,bottom
D33,98.425000,0.000000,90.000000,bottom
D34,98.425000,-19.050000,90.000000,bottom
D35,98.425000,-38.100000,90.000000,bottom
D36,98.425000,-57.150000,90.000000,bottom
D37,98.425000,-76.200000,90.000000,bottom
D38,98.425000,-95.250000,90.000000,bottom
D39,121.443750,-103.187500,0.000000,bottom
D40,0.793750,-25.400000,90.000000,bottom
D41,95.250000,-124.618750,0.000000,bottom
D42,117.475000,-9.525000,90.000000,bottom
D43,107.156250,-37.306250,0.000000,bottom
D44,114.300000,-62.706250,0.000000,bottom
D45,114.300000,-93.662500,0.000000,bottom
D46,114.300000,-124.618750,0.000000,bottom
D47,251.618750,-25.400000,270.000000,bottom
D48,130.968750,-103.187500,180.000000,bottom
D49,141.287500,-9.525000,90.000000,bottom
D50,144.822500,-35.730000,90.000000,bottom
D51,138.112500,-49.212500,180.000000,bottom
D52,141.287500,-85.725000,90.000000,bottom
D53,217.487500,-119.062500,90.000000,bottom
D54,160.337500,0.000000,90.000000,bottom
D55,160.337500,-19.050000,90.000000,bottom
D56,160.337500,-38.100000,90.000000,bottom
D57,160.337500,-57.150000,90.000000,bottom
D58,160.337500,-76.200000,90.000000,bottom
D59,160.337500,-95.250000,90.000000,bottom
D60,240.506250,-82.550000,90.000000,bottom
D61,230.187500,-100.012500,270.000000,bottom
D62,236.537500,-119.062500,90.000000,bottom
D63,179.387500,2.381250,90.000000,bottom
D64,179.387500,-16.668750,90.000000,bottom
D65,179.387500,-35.718750,90.000000,bottom
D66,179.387500,-54.768750,90.000000,bottom
D67,179.387500,-73.818750,90.000000,bottom
D68,255.587500,-119.062500,90.000000,bottom
D69,198.437500,4.762500,90.000000,bottom
D70,198.437500,-14.287500,90.000000,bottom
D71,198.437500,-33.337500,90.000000,bottom
D72,198.437500,-52.387500,90.000000,bottom
D73,198.437500,-71.437500,90.000000,bottom
D74,196.056250,-92.868750,90.000000,bottom
D75,217.487500,2.381250,90.000000,bottom
D76,217.487500,-16.668750,90.000000,bottom
D77,217.487500,-35.718750,90.000000,bottom
D78,217.487500,-54.768750,90.000000,bottom
D79,217.487500,-73.818750,90.000000,bottom
D80,236.537500,0.000000,90.000000,bottom
D81,236.537500,-19.050000,90.000000,bottom
D82,236.537500,-38.100000,90.000000,bottom
D83,236.537500,-57.150000,90.000000,bottom
D84,236.537500,-76.200000,90.000000,bottom
D85,138.112500,-118.268750,180.000000,bottom
D86,255.587500,0.000000,90.000000,bottom
D87,243.681250,-19.843750,0.000000,bottom
D88,255.587500,-38.100000,90.000000,bottom
D89,255.587500,-57.150000,90.000000,bottom
D90,255.587500,-76.200000,90.000000,bottom
D91,157.162500,-118.268750,180.000000,bottom
