Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0805_2012Metric",27.781250,-82.550000,90.000000,bottom
"C2","4.7n","C_0805_2012Metric",19.050000,-27.781250,180.000000,bottom
"C3","1uF","C_0805_2012Metric",20.637500,-82.550000,270.000000,bottom
"C4","1uF","C_0805_2012Metric",14.287500,-82.550000,270.000000,bottom
"C5","4.7n","C_0805_2012Metric",259.556250,-19.050000,270.000000,bottom
"C6","4.7uF","C_0805_2012Metric",224.631250,-82.550000,90.000000,bottom
"C7","1uF","C_0805_2012Metric",238.125000,-82.550000,270.000000,bottom
"C8","1uF","C_0805_2012Metric",231.775000,-82.550000,90.000000,bottom
"D1","1N5819","D_SOD-123",11.906250,-82.550000,90.000000,bottom
"D2","D_Small","D_SOD-123",3.175000,-119.062500,90.000000,bottom
"D3","D_Small","D_SOD-123",3.175000,0.000000,90.000000,bottom
"D4","D_Small","D_SOD-123",3.175000,-19.050000,90.000000,bottom
"D5","D_Small","D_SOD-123",3.175000,-38.100000,90.000000,bottom
"D6","D_Small","D_SOD-123",3.175000,-57.150000,90.000000,bottom
"D7","D_Small","D_SOD-123",3.175000,-76.200000,90.000000,bottom
"D8","D_Small","D_SOD-123",15.875000,-100.012500,270.000000,bottom
"D9","D_Small","D_SOD-123",22.225000,-119.062500,90.000000,bottom
"D10","D_Small","D_SOD-123",22.225000,0.000000,90.000000,bottom
"D11","D_Small","D_SOD-123",22.225000,-19.050000,90.000000,bottom
"D12","D_Small","D_SOD-123",22.225000,-38.100000,90.000000,bottom
"D13","D_Small","D_SOD-123",22.225000,-57.150000,90.000000,bottom
"D14","D_Small","D_SOD-123",22.225000,-76.200000,90.000000,bottom
"D15","D_Small","D_SOD-123",41.275000,-119.062500,90.000000,bottom
"D16","D_Small","D_SOD-123",41.275000,2.381250,90.000000,bottom
"D17","D_Small","D_SOD-123",41.275000,-16.668750,90.000000,bottom
"D18","D_Small","D_SOD-123",41.275000,-35.718750,90.000000,bottom
"D19","D_Small","D_SOD-123",41.275000,-54.768750,90.000000,bottom
"D20","D_Small","D_SOD-123",41.275000,-73.818750,90.000000,bottom
"D21","D_Small","D_SOD-123",60.325000,4.762500,90.000000,bottom
"D22","D_Small","D_SOD-123",60.325000,-14.287500,90.000000,bottom
"D23","D_Small","D_SOD-123",60.325000,-33.337500,90.000000,bottom
"D24","D_Small","D_SOD-123",60.325000,-52.387500,90.000000,bottom
"D25","D_Small","D_SOD-123",60.325000,-71.437500,90.000000,bottom
