Ref,Val,Package,PosX,PosY,Rot,Side
"BT2","Battery_Cell","battery-custom-connector",85.725000,-50.006250,180.000000,top
"BT4","Battery_Cell","battery-custom-connector",166.687500,-50.006250,0.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",129.381250,-15.081250,90.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",203.993750,-89.693750,0.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",123.031250,-75.406250,-90.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",242.887500,-7.937500,180.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",104.775000,-10.318750,0.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",80.168750,-84.931250,180.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",9.525000,-7.937500,180.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",9.525000,-10.318750,0.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",38.893750,-89.693750,0.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",123.031250,-15.081250,-90.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",38.893750,-84.931250,180.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",242.887500,-10.318750,0.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",172.243750,-84.931250,180.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",147.637500,-7.937500,180.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",203.993750,-84.931250,180.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",104.775000,-7.937500,180.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",80.168750,-89.693750,0.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",172.243750,-89.693750,0.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",147.637500,-10.318750,0.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",129.381250,-75.406250,90.000000,top
"SW1","SW_SPST","MXOnly-1U-Hotswap",0.000000,0.000000,180.000000,top
"SW2","SW_SPST","MXOnly-1U-Hotswap",19.050000,0.000000,180.000000,top
"SW3","SW_SPST","MXOnly-1U-Hotswap",38.100000,0.000000,180.000000,top
"SW4","SW_SPST","MXOnly-1U-Hotswap",57.150000,0.000000,180.000000,top
"SW5","SW_SPST","MXOnly-1U-Hotswap",76.200000,0.000000,180.000000,top
"SW6","SW_SPST","MXOnly-1U-Hotswap",95.250000,0.000000,180.000000,top
"SW7","SW_SPST","MXOnly-1U-Hotswap",114.300000,0.000000,180.000000,top
"SW8","SW_SPST","MXOnly-1U-Hotswap",138.112500,0.000000,180.000000,top
"SW9","SW_SPST","MXOnly-1U-Hotswap",157.162500,0.000000,180.000000,top
"SW10","SW_SPST","MXOnly-1U-Hotswap",176.212500,0.000000,180.000000,top
"SW11","SW_SPST","MXOnly-1U-Hotswap",195.262500,0.000000,180.000000,top
"SW12","SW_SPST","MXOnly-1U-Hotswap",214.312500,0.000000,180.000000,top
"SW13","SW_SPST","MXOnly-1U-Hotswap",233.362500,0.000000,180.000000,top
"SW14","SW_SPST","MXOnly-1U-Hotswap",252.412500,0.000000,180.000000,top
"SW15","SW_SPST","MXOnly-1U-Hotswap",0.000000,-19.050000,180.000000,top
"SW16","SW_SPST","MXOnly-1U-Hotswap",19.050000,-19.050000,180.000000,top
"SW17","SW_SPST","MXOnly-1U-Hotswap",38.100000,-19.050000,180.000000,top
"SW18","SW_SPST","MXOnly-1U-Hotswap",57.150000,-19.050000,180.000000,top
"SW19","SW_SPST","MXOnly-1U-Hotswap",76.200000,-19.050000,180.000000,top
"SW20","SW_SPST","MXOnly-1U-Hotswap",95.250000,-19.050000,180.000000,top
"SW21","SW_SPST","MXOnly-1U-Hotswap",114.300000,-19.050000,180.000000,top
"SW22","SW_SPST","MXOnly-1U-Hotswap",138.112500,-19.050000,180.000000,top
"SW23","SW_SPST","MXOnly-1U-Hotswap",157.162500,-19.050000,180.000000,top
"SW24","SW_SPST","MXOnly-1U-Hotswap",176.212500,-19.050000,180.000000,top
"SW25","SW_SPST","MXOnly-1U-Hotswap",195.262500,-19.050000,180.000000,top
"SW26","SW_SPST","MXOnly-1U-Hotswap",214.312500,-19.050000,180.000000,top
"SW27","SW_SPST","MXOnly-1U-Hotswap",233.362500,-19.050000,180.000000,top
"SW28","SW_SPST","MXOnly-1U-Hotswap",252.412500,-19.050000,180.000000,top
"SW29","SW_SPST","MXOnly-1.5U-Hotswap",0.000000,-42.862500,-90.000000,top
"SW30","SW_SPST","MXOnly-1U-Hotswap",19.050000,-38.100000,180.000000,top
"SW31","SW_SPST","MXOnly-1U-Hotswap",38.100000,-38.100000,180.000000,top
"SW32","SW_SPST","MXOnly-1U-Hotswap",57.150000,-38.100000,180.000000,top
"SW33","SW_SPST","MXOnly-1U-Hotswap",76.200000,-38.100000,180.000000,top
"SW34","SW_SPST","MXOnly-1U-Hotswap",95.250000,-38.100000,180.000000,top
"SW35","SW_SPST","MXOnly-1U-Hotswap",114.300000,-38.100000,180.000000,top
"SW36","SW_SPST","MXOnly-1U-Hotswap",138.112500,-38.100000,180.000000,top
"SW37","SW_SPST","MXOnly-1U-Hotswap",157.162500,-38.100000,180.000000,top
"SW38","SW_SPST","MXOnly-1U-Hotswap",176.212500,-38.100000,180.000000,top
"SW39","SW_SPST","MXOnly-1U-Hotswap",195.262500,-38.100000,180.000000,top
