Designator,Mid X,Mid Y,Layer,Rotation
BT1,-103.256250,-51.006250,bottom,90.000000
BT3,-149.156250,-49.006250,bottom,-90.000000
C1,-150.018750,-69.850000,bottom,90.000000
C2,-102.393750,-69.850000,bottom,90.000000
C3,-95.250000,-69.850000,bottom,-90.000000
C4,-157.162500,-69.850000,bottom,90.000000
C5,-88.900000,-69.850000,bottom,-90.000000
C6,-163.512500,-69.850000,bottom,-90.000000
C7,4.762500,-39.687500,bottom,90.000000
C8,-242.887500,-38.100000,bottom,-90.000000
D1,3.175000,0.000000,bottom,-90.000000
D2,-15.875000,0.000000,bottom,-90.000000
D3,-34.925000,0.000000,bottom,-90.000000
D4,-53.975000,0.000000,bottom,-90.000000
D5,-73.025000,0.000000,bottom,-90.000000
D6,-92.075000,0.000000,bottom,-90.000000
D7,-111.125000,0.000000,bottom,-90.000000
D8,-134.937500,0.000000,bottom,-90.000000
D9,-153.987500,0.000000,bottom,-90.000000
D10,-173.037500,0.000000,bottom,-90.000000
D11,-192.087500,0.000000,bottom,-90.000000
D12,-211.137500,0.000000,bottom,-90.000000
D13,-230.187500,0.000000,bottom,-90.000000
D14,-249.237500,0.000000,bottom,-90.000000
D15,3.175000,-19.050000,bottom,-90.000000
D16,-15.875000,-19.050000,bottom,-90.000000
D17,-34.925000,-19.050000,bottom,-90.000000
D18,-53.975000,-19.050000,bottom,-90.000000
D19,-73.025000,-19.050000,bottom,-90.000000
D20,-92.075000,-19.050000,bottom,-90.000000
D21,-105.568750,-19.050000,bottom,-90.000000
D22,-148.431250,-19.050000,bottom,-90.000000
D23,-153.987500,-19.050000,bottom,-90.000000
D24,-173.037500,-19.050000,bottom,-90.000000
D25,-192.087500,-19.050000,bottom,-90.000000
D26,-211.137500,-19.050000,bottom,-90.000000
D27,-230.187500,-19.050000,bottom,-90.000000
D28,-249.237500,-19.050000,bottom,-90.000000
D29,0.000000,-46.037500,bottom,0.000000
D30,-15.875000,-38.100000,bottom,-90.000000
D31,-34.925000,-38.100000,bottom,-90.000000
D32,-53.975000,-38.100000,bottom,-90.000000
D33,-73.025000,-38.100000,bottom,-90.000000
D34,-92.075000,-38.100000,bottom,-90.000000
D35,-111.125000,-38.100000,bottom,-90.000000
D36,-134.937500,-38.100000,bottom,-90.000000
D37,-153.987500,-38.100000,bottom,-90.000000
D38,-173.037500,-38.100000,bottom,-90.000000
D39,-192.087500,-38.100000,bottom,-90.000000
D40,-211.137500,-38.100000,bottom,-90.000000
D41,-230.187500,-38.100000,bottom,-90.000000
D42,-249.237500,-38.100000,bottom,-90.000000
D43,-15.875000,-57.150000,bottom,-90.000000
D44,-34.925000,-57.150000,bottom,-90.000000
D45,-53.975000,-57.150000,bottom,-90.000000
D46,-73.025000,-57.150000,bottom,-90.000000
D47,-92.075000,-57.150000,bottom,-90.000000
D48,-111.125000,-57.150000,bottom,-90.000000
D49,-138.112500,-65.087500,bottom,0.000000
D50,-153.987500,-57.150000,bottom,-90.000000
D51,-173.037500,-57.150000,bottom,-90.000000
D52,-192.087500,-57.150000,bottom,-90.000000
D53,-211.137500,-57.150000,bottom,-90.000000
D54,-230.187500,-57.150000,bottom,-90.000000
D55,-249.237500,-57.150000,bottom,-90.000000
D56,0.000000,-86.518750,bottom,0.000000
D57,-15.875000,-76.200000,bottom,-90.000000
D58,-34.925000,-76.200000,bottom,-90.000000
D59,-53.975000,-76.200000,bottom,-90.000000
D60,-73.025000,-76.200000,bottom,-90.000000
D61,-92.075000,-76.200000,bottom,-90.000000
D62,-153.987500,-76.200000,bottom,-90.000000
D63,-173.037500,-76.200000,bottom,-90.000000
D64,-192.087500,-76.200000,bottom,-90.000000
D65,-211.137500,-76.200000,bottom,-90.000000
D66,-230.187500,-76.200000,bottom,-90.000000
D67,-249.237500,-76.200000,bottom,-90.000000
D68,0.000000,-119.856250,bottom,0.000000
D69,-18.256250,-95.250000,bottom,-90.000000
D70,-92.075000,-95.250000,bottom,-90.000000
